DEPT,GR,LLD,LLS,DTC,DTS,NPHI,RHOB,DCALI_FINAL,WELL
3987.3,117.39,1000,352.3,,,,,,Well 2
4418.076,127.8160553,1071.634766,68.72776794,52.95192719,91.12015533,0.111593336,2.668406725,0.108406767,Well 5
4303.65,123.8074,387.7473,110.4877,53.8795,,8.557,2.6595,0.3876,Well 4
4009.4916,160.4095,303.233,8.29503,54.31975645,95.24484071,0.05787,2.6236,0.08011,Well 10
4834.5,107.7984,126.9475,83.087,,,8.3022,2.6963,0.0983,Well 4
4752,122.44,185.41,31.92,,,,,,Well 6
4170.7308,109.3633957,188.8815918,23.30023193,56.75802994,99.29265595,0.161273331,2.698726654,0.25,Well 5
4042.8672,84.12736511,285.8117065,32.83154678,60.47125626,101.1852417,0.225513339,2.656540155,0.145893425,Well 5
4123.35,128.7607,405.0005,309.8625,65.415,,10.4972,2.7443,0.1631,Well 4
5012.5884,94.27223,10158.94,0.1,50.48407671,87.39728066,0.04871,2.74051,0.12268,Well 10
3698.7,109.5163,672.0594,109.1183,53.787,,6.0027,2.6846,0.1834,Well 4
4966.2,86.03,2828.64,3862.27,56.0662,98.02192688,0.08,2.58,0.04,Well 11
4078.05,66.81,2951.55,1875.77,,,,,,Well 7
4583.1,70.51,21996.2,13357.59,,,,,,Well 7
3719.7,131.48,35340.38,86484.42,55.39077,100.6514804,0.05,2.58,0.26,Well 11
3594.964,154.677,2411.937,166.523,55.265,102.454,0.065,2.603,0.15,Well 3
5086.1976,84.78429,43034.42,15.15934,51.09742453,85.79995908,0.04109,2.63224,0.10596,Well 10
3906.9264,95.13980103,41551.10547,54.34046555,50.01957321,89.43897247,0.111766666,2.684700012,0.087633289,Well 5
4313.25,196.53,142.56,44.48,,,,,,Well 2
4901.7,86.8134,117.296,26.9593,55.0736,,16.2797,2.6759,0.1849,Well 4
5145.024,85.69513,3081.307,18.46311,53.38221543,90.40909829,0.07752,2.67249,0.04356,Well 10
3432.15,102.53,368.2799988,4395.81,51.72707593,96.52118806,0.06,2.59,0.18,Well 12
5208.75,89.54,2049.99,606.05,59.76845,105.5425082,0.09,2.49,0.11,Well 11
4077,61.56,84.03,70.76,54.7591,101.6267237,0.19,2.51,0.25,Well 11
4325.4,122.4641,308.9885,9.1689,50.6458,,6.2908,2.6321,0.8974,Well 4
3627.577,156.563,10271.215,505.556,52.056,89.498,0.038,2.644,0.011,Well 3
4353.9,60.9,681.69,396.64,,,,,,Well 7
5271.45,72.22,285.89,94.81,53.12309208,,0.04,2.55,0.08,Well 8
5448.9,90.8,732.08,617.32,52.92848055,,0.04,2.62,0.17,Well 8
4123.2,70.05,283.35,232.7,51.6729848,92.49002551,0.12,2.53,0.31,Well 12
3616.1472,97.41452026,0.100000002,0.109999999,52.24967194,88.46138001,0.109999999,2.558106661,0.987566531,Well 5
4699.8,86.4,4797.99,13.31,,,,,,Well 9
5307.9,146.35,11472.24,48.39,55.25182,98.87450866,0.08,2.52,0.18,Well 11
4248.75,102.02,4363.64,97.91,,,,,,Well 9
3929.85,148.15,10016.3,27221.6,51.11634,91.05170824,0.03,2.65,0.04,Well 11
4284.15,90.48,245.7599945,5749.07,55.60108581,100.9658226,0.09,2.63,0.11,Well 8
3886.2,94.98,8419.99,406.94,51.11237354,92.29349236,0.04,2.59,0.2,Well 12
5117.25,79.96,107.83,75.75,59.19587,104.0332755,0.15,2.53,0.22,Well 11
4489.05,64.64,444.12,3713.9,50.91488026,97.37854346,0.03,2.79,0.06,Well 8
4366.95,119.122,5370.2369,1084.1972,,,2.6965,2.7452,0.2493,Well 4
4915.5,71.35,31494.51,65.39,,,,,,Well 9
3730.142,155.573,143.715,48.626,63.181,,0.094,2.522,0.018,Well 3
4188.6,172.46,823.06,310.3,,,,,,Well 2
4100.1696,115.2256088,3932.540039,25.73736,52.98825455,90.34207153,0.119999997,2.680706739,0.176059961,Well 5
4099.2,79.77,475.61,15.62,,,,,,Well 9
4075.938,91.16019,266.2041,0.1,56.67354213,100.7963503,0.14728,2.6971,0.12529,Well 10
4461.2052,104.7122498,30835.69922,44.05577469,55.64232254,94.67482758,0.109999999,2.658940077,0.151566848,Well 5
4025.85,79.57,14748.69,14033.68,,,,,,Well 7
3984.3,60.8,147.57,242.19,55.9019,104.0427348,0.22,2.54,0.13,Well 11
5399.4,97.53,1275.44,4674.94,63.84,99.65318446,0.07,2.59,0.06,Well 11
3968.9532,89.0999,82.1692,12.59879971,56.06727,102.4538,0.1214,2.6544,0.9004,Well 1
4565.1,111.7969,3725.4515,1362.7791,48.6331,,4.2795,2.7338,0.232,Well 4
3730.05,101.92,6833.82,6852.27,,,,,,Well 7
5002.2,75.63,3497.73,25.83,,,,,,Well 9
4741.2,115.09,901.62,3166.8,57.8339,92.0343752,0.09,2.57,0.09,Well 11
4036.35,128.3244,94.5334,64.7469,53.2199,,5.0253,2.7313,0.2024,Well 4
4375.65,71.53,373.13,31.54,,,,,,Well 9
3498.037,117.257,2518.469,448.464,53.918,105.569,0.103,2.566,0.195,Well 3
3692.4996,122.4474,210.2816,134.3697,55.99681,97.03111,0.1112,2.6308,1.2083,Well 1
4469.25,125.0262,411.4687,162.0774,51.4217,,7.5844,2.712,0.2126,Well 4
4225.8,63.31,1696.01,49.07,,,,,,Well 9
3544.35,78.46,192.1699982,17.98,52.75951,98.52532281,0.15,2.56,0.27,Well 11
5661.3,113.37,334.5,379.51,55.35866475,99.24898929,0.04,2.64,0.1,Well 8
4811.55,75.33,488.92,25.73,,,,,,Well 9
3953.8656,271.9489,1411.9224,17.92219925,53.26697,89.05749,-0.0046,2.5754,0.521,Well 1
4223.1,141.14,5194.39,576.63,55.36526,95.8207557,0.06,2.55,0.08,Well 11
4133.6976,92.7375,7553.5645,10.09640026,51.02549,93.11926,0.0821,2.7138,0.495,Well 1
4329.9,176.15,695.66,183.5,,,,,,Well 2
3995.0136,75.28469849,18740.40039,51.23171997,53.70436478,93.43099976,0.140000001,2.758493424,0.235479817,Well 5
3703.95,125.63,19925.12,96070.08,56.6772,102.7203256,0.08,2.49,0.33,Well 11
3921.252,95.1901,1722.8118,18.69689941,51.10999,89.06503,0.0478,2.7179,0.4873,Well 1
4927.092,80.30598,2992.096,2.84112,52.02749204,88.51233152,0.08425,2.74365,0.51263,Well 10
4739.1,72.75,109.96,19.54,,,,,,Well 9
3868.65,69.73,6203.91,2.6,,,,,,Well 9
5715.75,108.95,236.19,136.09,57.80936897,,0.07,2.49,0.97,Well 8
3806.85,88.24,733.99,26.31,,,,,,Well 7
3966.75,122.5879,3631.7201,763.3295,53.2179,,5.5216,2.7166,0.2196,Well 4
3525,196.1,1000,209.98,,,,,0.1441,Well 2
3983.7,127.57,1000,243.58,,,,,,Well 2
4877.7,77.21,1139.2,22.79,,,,,,Well 9
7090.65,185.89,133.81,19.61,60.48679346,102.960241,0.08,2.55,0.36,Well 8
5295.9,104.22,2342.53,207.71,57.17435,98.46065362,0.12,2.43,0.11,Well 11
5098.35,113.49,205.14,94.67,57.02458,102.0977922,0.1,2.51,0.25,Well 11
3764.5848,86.045,1242.4154,17.49099922,51.06268,88.18246,0.0581,2.7341,0.8989,Well 1
3910.8888,99.4432,288.7091,9.804499626,54.30176,93.67834,0.095,2.6596,0.7011,Well 1
4636.65,125.59,5331.42,2141.05,54.51317,92.95649475,0.05,2.63,0.07,Well 11
4226.7,74.14,3152.91,47.91,,,,,,Well 9
3650.1,77.35,544.6300049,1.61,,,,,,Well 6
3804.45,154.88,1000,354.76,,,,,,Well 2
3731.4,73.96,317.28,35.7,,,,,,Well 9
3979.8,58.73,246.37,1.86,,,,,,Well 9
3585.0576,108.3666,183.5172,99.1697,55.38261,101.6946,0.1575,2.6644,1.2083,Well 1
5568.6,81.57,547.91,2.18,53.24627,90.74698564,0.11,2.47,1.21,Well 11
3671.316,129.5160675,2678.265137,478.9848328,54.40498734,91.16731262,0.090000004,2.592033148,0.073220037,Well 5
6157.05,119.74,54.83,41.48,56.40661489,96.53680252,0.04,2.7,0.22,Well 8
3619.1952,103.4939,370.1537,55.7137,52.8948,91.69629,0.0957,2.701,0.7958,Well 1
3560.1,92.4997,75.87909698,2.880399942,65.2305,,26.6007,2.2178,0.2668,Well 4
4164.6,118.2493,919.9338,314.1989,51.1764,,6.6777,2.6794,0.2221,Well 4
5467.65,129.8,6688.96,456.33,51.60723336,90.49035961,0.02,2.66,0.49,Well 8
4030.35,108.85,438.45,218.79,,,,,,Well 2
4154.85,133.35,526.01,1375.92,52.48261,93.54893942,0.05,2.62,0.04,Well 11
5480.1,103.9,28697.86,111.45,51.55591115,93.23874189,0.02,2.71,0.11,Well 8
4491.228,149.8336,1772.256,171.3195,51.0572484,96.34844538,0.03695,2.69928,0.075,Well 10
4040.55,115.4609,128.5679,6.0582,59.4942,,8.6749,2.599,0.3531,Well 4
4501.05,106.02,720.94,569.4,,,,,,Well 6
4490.1,86.87,778.5,18.87,,,,,,Well 9
3879.342,80.0379,410.0647,10.01259995,54.08269,97.10225,0.0937,2.7216,0.4299,Well 1
3916.8324,85.7912,5115.4463,17.96730042,50.69402,88.56365,0.0545,2.7519,0.5982,Well 1
4672.8,54.08,195.4,1045.4,47.71899033,88.22116173,0.07,2.72,0.03,Well 8
3750.107,184.792,1747.458,354.203,54.052,101.097,0.095,2.54,0.047,Well 3
3981.15,70.07,2313.07,7650.76,,,,,,Well 7
3679.8,175.92,251.07,85.69,,,,,-0.0125,Well 2
4016.3496,154.4005,107.7495,5.67102,52.79578174,91.34387806,0.04638,2.63303,0.02562,Well 10
3414.6744,96.7225,1568.7538,143.5415,49.98392,90.12159,0.0567,2.7341,0.8159,Well 1
5460.45,119.7423,342.3291,77.0404,54.5525,,9.3893,2.7186,0.3389,Well 4
3701.034,79.339,1360.376,168.437,54.955,,0.201,2.665,0.256,Well 3
3452.55,185.78,681.18,340.4,,,,,0.1702,Well 2
4004.6148,162.7499,168.5602,0.1,61.11451385,90.13365567,0.08851,2.54858,0.056,Well 10
4466.1,114.13,7961.31,281.75,51.4000416,98.10859299,0.05,2.76,0,Well 8
4086.149,,339.98,105.696,,,,,,Well 3
6323.1,97.23,291.22,316.62,57.45968355,101.5819291,0.05,2.65,0.06,Well 8
3958.895,146.025,95.457,43.665,57.459,110.949,0.092,2.272,-1.924,Well 3
4202.1,81.63,180.75,84.92,56.59991598,91.00345136,0.09,2.57,0.12,Well 12
4462.5,84.73,629.14,19.62,,,,,,Well 9
4757.7,111.18,4229.76,4187.46,,,,,,Well 6
5538,90.41,4957.77,241.33,51.65101777,96.60143843,0.02,2.63,0.08,Well 8
3653.55,94.11,645.7,449.72,55.29366,87.87351606,0.04,2.65,0.2,Well 11
4413.0468,199.9174,4537.933,157.3674,51.91439607,,0.02556,2.60647,0.03657,Well 10
5531.85,131.1004,75413.1095,5518.4222,50.004,,3.3991,2.7554,0.1932,Well 4
5836.5,137.74,20782.86,33.45,51.39300447,,0.01,2.72,0.12,Well 8
4043.4,99,674.91,237.35,,,,,,Well 2
5636.7,93.33,2244.17,234.3,50.42353662,,0.02,2.72,0.33,Well 8
4317.15,53.83,508.54,483.84,,,,,,Well 7
4025.3412,154.2108,162.9961,0.1,56.09663219,106.2957798,0.0621,2.70081,0.20384,Well 10
4541.55,81.01,644.97,511.54,57.85977,99.17936037,0.09,2.52,0.13,Well 11
5676.45,103.79,395.84,192.96,55.36277708,95.81752276,0.05,2.56,0.11,Well 8
4201.9728,147.8120117,429.3794861,26.38888741,57.97829437,98.65148926,0.119999997,2.516946554,0.011526858,Well 5
4460.25,57.33,1856.23,797.37,,,,,,Well 7
4005.45,101.45,1000,497.39,,,,,,Well 2
3704.9964,97.8108,19601.3145,613.9635,51.79089,87.72616,0.0302,2.6296,0.4272,Well 1
3801.45,174.19,1000,425.94,,,,,,Well 2
4279.95,96.64,378.31,85.12,,,,,,Well 9
4451.1,94.07,487.42,357.72,,,,,,Well 9
4129.5,94.16,132.25,0.91,,,,,,Well 6
5071.35,76.83,271.58,119.57,,,,,,Well 6
6086.7,119.92,69.55,13.81,61.13755144,106.2108808,0.05,2.66,0.3,Well 8
3915.45,84.13,362.42,0.64,,,,,,Well 6
4774.95,84.4274,1.7979,0.177,54.7431,,59.7903,1.5878,0.5922,Well 4
3673.05,81.9086,61.2713,3.5044,57.4132,,16.404,2.6606,0.4661,Well 4
4869,66.7,258.03,55.92,50.84790847,,0.1,2.6,0.41,Well 8
4562.4,62.77,2620.53,1196.78,,,,,,Well 7
3636.569,162.236,1192.142,295.693,56.092,103.887,0.065,2.616,0.149,Well 3
7200.15,103.29,556.87,147.48,52.32564226,92.84397528,0.05,2.63,0.21,Well 8
4415.4,65.5,221.45,124.25,,,,,,Well 7
5108.7,122.443,2400.9025,220.1309,49.9394,,4.2296,2.7607,0.3462,Well 4
4916.4,115.235,158.8462,92.8554,48.4194,,6.4053,2.7071,0.143,Well 4
4900.5,114.85,1439.48,884.28,,,,,,Well 6
3541.95,81.62,137.1900024,35.61,57.22182,97.41197924,0.2,2.49,0.3,Well 11
3618.8904,121.9481049,828.0715332,255.2610016,54.54409027,93.09902191,0.109366663,2.622533321,0.24253355,Well 5
3652.2,318.59,598.78,201.75,,,,,-0.0125,Well 2
5278.65,117.7757,74622.309,8.2174,52.3395,,2.0334,2.6931,0.6293,Well 4
6817.2,119.52,84.45,631.02,52.51748801,91.43879386,0.02,2.72,0.11,Well 8
7114.95,95.23,689.63,131.23,56.65025687,95.10992,0.07,2.58,0.24,Well 8
